"","Target","Effector","Median_FCC","MAD"
"418","TAL","FBPase",-0.0124,0.02416638
"419","TKT1","FBPase",0.0028,0.01052646
"420","TKT2","FBPase",0.0061,0.00934038
"421","TPI","FBPase",0.0067,0.00919212
"422","XFPK1","FBPase",0.0407,0.08183952
"423","XFPK2","FBPase",-0.0215,0.09132816
"424","ZWF","FBPase",0.0181,0.03128286
"425","ACO","FBA",0.0311,0.09236598
"426","ADK","FBA",-0.0172,0.04759146
"427","ALD","FBA",-0.5512,0.64952706
"428","ATPSyn","FBA",0.0079,0.02342508
"429","CS","FBA",0.0311,0.09236598
"430","DEVB","FBA",0.0471,0.09251424
"431","ENO","FBA",2e-04,0.06923742
"432","FBA","FBA",0.0353,0.04773972
"433","FBPase","FBA",-0.5512,0.64952706
"434","FUMC","FBA",0.0012,0.00934038
"435","GAPD","FBA",0.0087,0.02490768
"436","GLCO","FBA",0.0061,0.0252042
"437","GND","FBA",0.0471,0.09251424
"438","ICD","FBA",0.0311,0.09236598
"439","MDH","FBA",-0.0756,0.23173038
"440","ME","FBA",-0.0116,0.0474432
"441","NADPase","FBA",0.0087,0.02431464
"442","PDH","FBA",-0.0082,0.1104537
"443","PGI","FBA",0.0489,0.09503466
"444","PGK","FBA",0.0087,0.02490768
"445","PGM","FBA",2e-04,0.06923742
"446","PGP","FBA",0.0061,0.0252042
"447","PNT","FBA",-0.0019,0.04877754
"448","PPK","FBA",-0.0079,0.06983046
"449","PRK","FBA",0.0061,0.0252042
"450","PRSA","FBA",-0.0172,0.04759146
"451","PTA","FBA",0.1205,0.22120392
"452","PYK","FBA",0.0539,0.28199052
"453","RPE","FBA",0.0036,0.02386986
"454","RPI","FBA",0.012,0.0303933
"455","RuBisC","FBA",0.0061,0.0252042
"456","RuBisO","FBA",0.0061,0.0252042
"457","SBPase","FBA",0.0353,0.04773972
"458","Sink_ACCOA","FBA",0.0329,0.0578214
"459","Sink_E4P","FBA",-0.0418,0.08584254
"460","Sink_G6P","FBA",0.0456,0.09103164
"461","Sink_GLX","FBA",0.0061,0.0252042
"462","Sink_H2O2","FBA",0.0061,0.0252042
"463","Sink_O2G","FBA",0.0311,0.09236598
"464","Sink_OAA","FBA",-0.0051,0.04581234
"465","Sink_P3G","FBA",-0.0132,0.05026014
"466","Sink_PRPP","FBA",-0.0172,0.04759146
"467","Sink_PYR","FBA",0.0128,0.06182442
"468","Supply_COA","FBA",0.0329,0.0578214
"469","Supply_FUM","FBA",0.0012,0.00934038
"470","Supply_P_i","FBA",-0.0063,0.02550072
"471","TAL","FBA",0.0615,0.07457478
"472","TKT1","FBA",1e-04,0.02579724
"473","TKT2","FBA",0.0092,0.0266868
"474","TPI","FBA",0.0118,0.02757636
"475","XFPK1","FBA",0.1362,0.23840208
"476","XFPK2","FBA",-0.006,0.27932184
"477","ZWF","FBA",0.0471,0.09251424
"478","ACO","SBPase",0.0696,0.15092868
"479","ADK","SBPase",-0.0411,0.08213604
"480","ALD","SBPase",-0.41,0.63099456
"481","ATPSyn","SBPase",0.02,0.03973368
"482","CS","SBPase",0.0696,0.15092868
"483","DEVB","SBPase",0.117,0.1712403
"484","ENO","SBPase",0.0052,0.11890452
"485","FBA","SBPase",0.0506,0.06923742
"486","FBPase","SBPase",-0.41,0.63099456
"487","FUMC","SBPase",0.0038,0.01734642
"488","GAPD","SBPase",0.0216,0.04210584
"489","GLCO","SBPase",0.016,0.04358844
"490","GND","SBPase",0.117,0.1712403
"491","ICD","SBPase",0.0696,0.15092868
"492","MDH","SBPase",-0.1939,0.36531264
"493","ME","SBPase",-0.0321,0.07605738
"494","NADPase","SBPase",0.0217,0.04166106
"495","PDH","SBPase",-0.0085,0.18695586
"496","PGI","SBPase",0.1112,0.16501338
"497","PGK","SBPase",0.0216,0.04210584
"498","PGM","SBPase",0.0052,0.11890452
"499","PGP","SBPase",0.016,0.04358844
