"","Target","Effector","Median_FCC","MAD"
"401","RPI","FBPase",0.0087,0.0133434
"402","RuBisC","FBPase",0.006,0.0118608
"403","RuBisO","FBPase",0.006,0.0118608
"404","SBPase","FBPase",-9e-04,0.01719816
"405","Sink_ACCOA","FBPase",0.0306,0.03988194
"406","Sink_E4P","FBPase",-0.0215,0.04180932
"407","Sink_G6P","FBPase",0.027,0.04862928
"408","Sink_GLX","FBPase",0.006,0.0118608
"409","Sink_H2O2","FBPase",0.006,0.0118608
"410","Sink_O2G","FBPase",0.02,0.0437367
"411","Sink_OAA","FBPase",-0.0173,0.0274281
"412","Sink_P3G","FBPase",-0.0143,0.0266868
"413","Sink_PRPP","FBPase",-0.0078,0.0244629
"414","Sink_PYR","FBPase",0.0307,0.04951884
"415","Supply_COA","FBPase",0.0306,0.03988194
"416","Supply_FUM","FBPase",0.0013,0.00607866
"417","Supply_P_i","FBPase",-0.0052,0.01200906
"418","TAL","FBPase",-0.0123,0.02802114
"419","TKT1","FBPase",0.0022,0.01423296
"420","TKT2","FBPase",0.0074,0.01171254
"421","TPI","FBPase",0.0086,0.01156428
"422","XFPK1","FBPase",0.0671,0.11964582
"423","XFPK2","FBPase",-0.0449,0.14336742
"424","ZWF","FBPase",0.0303,0.04655364
"425","ACO","FBA",0.0196,0.07324044
"426","ADK","FBA",-0.0076,0.04210584
"427","ALD","FBA",-0.3905,0.50349096
"428","ATPSyn","FBA",0.0049,0.0200151
"429","CS","FBA",0.0196,0.07324044
"430","DEVB","FBA",0.0352,0.09370032
"431","ENO","FBA",-0.0025,0.06286224
"432","FBA","FBA",0.024,0.03469284
"433","FBPase","FBA",-0.3905,0.50349096
"434","FUMC","FBA",0.001,0.00874734
"435","GAPD","FBA",0.0053,0.0214977
"436","GLCO","FBA",0.0032,0.02134944
"437","GND","FBA",0.0352,0.09370032
"438","ICD","FBA",0.0196,0.07324044
"439","MDH","FBA",-0.0556,0.2290617
"440","ME","FBA",-0.0078,0.04610886
"441","NADPase","FBA",0.0054,0.02090466
"442","PDH","FBA",-0.0088,0.103782
"443","PGI","FBA",0.0387,0.09592422
"444","PGK","FBA",0.0053,0.0214977
"445","PGM","FBA",-0.0025,0.06286224
"446","PGP","FBA",0.0032,0.02134944
"447","PNT","FBA",-0.0024,0.04551582
"448","PPK","FBA",-0.0062,0.06390006
"449","PRK","FBA",0.0032,0.02134944
"450","PRSA","FBA",-0.0076,0.04210584
"451","PTA","FBA",0.0824,0.21616308
"452","PYK","FBA",0.018,0.28554876
"453","RPE","FBA",0.0016,0.02031162
"454","RPI","FBA",0.0073,0.02624202
"455","RuBisC","FBA",0.0032,0.02134944
